polymer_name,backbone,side_chain,side_chain_type,side_chain_length,side_chain_design_intent,device_type,transport_regime,film_thickness,channel_length,molecular_weight_mn,molecular_weight_mw,dispersity,mobility_h,mobility_e,capacitance,uc_star,pce,jsc,voc,ff,crystallinity,pi_pi_spacing,lamellar_spacing,experiment_condition,processing_method,processing_solvent,synthesis_solvent,electrolyte,measurement_method,notes,_source_file,_source_path,_config_name
EH4P-Se,diketopyrrolopyrrole (DPP) with selenophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,2.64 × 10−2 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated MeTHF 150 °C annealed,spin-coating,MeTHF,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,good saturation behavior,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-TT,diketopyrrolopyrrole (DPP) with thienothiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,9.63 × 10−2 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated nonannealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,smooth and uniform surfaces and small grains,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-TT,diketopyrrolopyrrole (DPP) with thienothiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,1.46 × 10−1 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated 150 °C annealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,"edge-on packing, fibrillar intercalating networks, and large crystalline π-stacking",388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-TT,diketopyrrolopyrrole (DPP) with thienothiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,6.10 × 10−3 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-untreated 150 °C annealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,slightly increased (010) π−π stacking distances,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-TT,diketopyrrolopyrrole (DPP) with thienothiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,4.72 × 10−2 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated MeTHF 150 °C annealed,spin-coating,MeTHF,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,good saturation behavior,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-BT,diketopyrrolopyrrole (DPP) with bithiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,6.45 × 10−2 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated nonannealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,smooth and uniform surfaces and small grains,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-BT,diketopyrrolopyrrole (DPP) with bithiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,1.16 × 10−1 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated 150 °C annealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,edge-on dominant packing motif,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-BT,diketopyrrolopyrrole (DPP) with bithiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,3.73 × 10−3 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-untreated 150 °C annealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,slightly increased (010) π−π stacking distances,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-BT,diketopyrrolopyrrole (DPP) with bithiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,3.46 × 10−2 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated MeTHF 150 °C annealed,spin-coating,MeTHF,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,good saturation behavior,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
TQ-2OC6,thiophene-quinoxaline copolymer,n-hexyloxy groups (meta),alkoxy,C6,solubility,OPV,electronic,100 nm,N/A,114.2 kDa,261.8 kDa,2.3,N/A,N/A,N/A,N/A,5.70/5.47,10.94 mA/cm2,0.88 V,0.59,N/A,N/A,N/A,processed from chloroform,spin-coating,chloroform,toluene,N/A,ITO/PEDOT:PSS/active/LiF/Al,N/A,315_1-s2.0-S1566119919306391-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/315_1-s2.0-S1566119919306391-main/315_1-s2.0-S1566119919306391-main/pdf/315_1-s2.0-S1566119919306391-main.txt,text_mining_GPT_extended
TQ-4OC6,thiophene-quinoxaline copolymer,n-hexyloxy groups (meta and para),alkoxy,C6,solubility,OPV,electronic,100 nm,N/A,8.8 kDa,17.5 kDa,2.0,N/A,N/A,N/A,N/A,1.08/0.84,2.40 mA/cm2,0.95 V,0.47,N/A,N/A,N/A,processed from chloroform,spin-coating,chloroform,toluene,N/A,ITO/PEDOT:PSS/active/LiF/Al,prominent phase separation,315_1-s2.0-S1566119919306391-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/315_1-s2.0-S1566119919306391-main/315_1-s2.0-S1566119919306391-main/pdf/315_1-s2.0-S1566119919306391-main.txt,text_mining_GPT_extended
TQ-4EO,thiophene-quinoxaline copolymer,oligo(ethylene oxide) groups (meta and para),oligo(ethylene oxide),oligo(ethylene oxide),solubility,OPV,electronic,90 nm,N/A,15.9 kDa,35.8 kDa,2.3,N/A,N/A,N/A,N/A,0.76/0.61,1.87 mA/cm2,0.79 V,0.53,N/A,N/A,N/A,processed from chloroform,spin-coating,chloroform,toluene,N/A,ITO/PEDOT:PSS/active/LiF/Al,phase separation between the two components,315_1-s2.0-S1566119919306391-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/315_1-s2.0-S1566119919306391-main/315_1-s2.0-S1566119919306391-main/pdf/315_1-s2.0-S1566119919306391-main.txt,text_mining_GPT_extended
TQ-2OC6,thiophene-quinoxaline copolymer,n-hexyloxy groups (meta),alkoxy,C6,solubility,OPV,electronic,145 nm,N/A,114.2 kDa,261.8 kDa,2.3,N/A,N/A,N/A,N/A,4.95/4.45,10.74 mA/cm2,0.90 V,0.48,N/A,N/A,N/A,"processed from 1,2-dichlorobenzene",spin-coating,"1,2-dichlorobenzene",toluene,N/A,ITO/PEDOT:PSS/active/Ca/Al,N/A,315_1-s2.0-S1566119919306391-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/315_1-s2.0-S1566119919306391-main/315_1-s2.0-S1566119919306391-main/pdf/315_1-s2.0-S1566119919306391-main.txt,text_mining_GPT_extended
TQ-2OC6,thiophene-quinoxaline copolymer,n-hexyloxy groups (meta),alkoxy,C6,solubility,OPV,electronic,70 nm,N/A,114.2 kDa,261.8 kDa,2.3,N/A,N/A,N/A,N/A,3.23/3.00,5.08 mA/cm2,0.85 V,0.58,N/A,N/A,N/A,"processed from 1,2-dichlorobenzene",spin-coating,"1,2-dichlorobenzene",toluene,N/A,ITO/PEDOT:PSS/active/Ca/Al,N/A,315_1-s2.0-S1566119919306391-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/315_1-s2.0-S1566119919306391-main/315_1-s2.0-S1566119919306391-main/pdf/315_1-s2.0-S1566119919306391-main.txt,text_mining_GPT_extended
TQ-4OC6,thiophene-quinoxaline copolymer,n-hexyloxy groups (meta and para),alkoxy,C6,solubility,OPV,electronic,80 nm,N/A,8.8 kDa,17.5 kDa,2.0,N/A,N/A,N/A,N/A,1.27/1.00,2.39 mA/cm2,0.93 V,0.57,N/A,N/A,N/A,"processed from 1,2-dichlorobenzene",spin-coating,"1,2-dichlorobenzene",toluene,N/A,ITO/PEDOT:PSS/active/Ca/Al,prominent phase separation,315_1-s2.0-S1566119919306391-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/315_1-s2.0-S1566119919306391-main/315_1-s2.0-S1566119919306391-main/pdf/315_1-s2.0-S1566119919306391-main.txt,text_mining_GPT_extended
P1,pyromellitic diimide (PMDI) acceptor and thienothiophene (TT) donor D–A backbone,2-ethylhexyl,alkyl,2-ethylhexyl,solubility and morphology,OPV,electronic,80 nm,N/A,4.7 KDa,N/A,1.07,N/A,N/A,N/A,N/A,0.12%,0.676 mA cm^-2,0.44 V,40%,N/A,N/A,N/A,1:2 D–A ratio; no pre-annealing,spin coating,ODCB,toluene,N/A,ITO/PEDOT:PSS/Polymer:PCBM/LiF/Al,phase-separated morphology with nanoscale domains,307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/pdf/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated.txt,text_mining_GPT_extended
P2,pyromellitic diimide (PMDI) acceptor and thienothiophene (TT) donor D–A backbone,2-octyldodecyl,alkyl,2-octyldodecyl,solubility and morphology,OPV,electronic,80 nm,N/A,30.8 KDa,N/A,4.22,N/A,N/A,N/A,N/A,0.022%,0.121 mA cm^-2,0.67 V,27%,N/A,N/A,N/A,1:2 D–A ratio; no pre-annealing,spin coating,ODCB,toluene,N/A,ITO/PEDOT:PSS/Polymer:PCBM/LiF/Al,large domains of aggregated PCBM,307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/pdf/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated.txt,text_mining_GPT_extended
P3,pyromellitic diimide (PMDI) acceptor and thienothiophene (TT) donor D–A backbone,2-octyldodecyl,alkyl,2-octyldodecyl,solubility and morphology,OPV,electronic,80 nm,N/A,80.4 KDa,N/A,2.30,N/A,N/A,N/A,N/A,0.43%,2.05 mA cm^-2,0.59 V,35%,N/A,N/A,N/A,1:2 D–A ratio; pre-annealing 110 °C,spin coating,ODCB,toluene,N/A,ITO/PEDOT:PSS/Polymer:PCBM/LiF/Al,better phase-separated morphology,307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/pdf/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated.txt,text_mining_GPT_extended
