polymer_name,backbone,side_chain,side_chain_type,side_chain_length,side_chain_design_intent,device_type,transport_regime,film_thickness,channel_length,molecular_weight_mn,molecular_weight_mw,dispersity,mobility_h,mobility_e,capacitance,uc_star,pce,jsc,voc,ff,crystallinity,pi_pi_spacing,lamellar_spacing,experiment_condition,processing_method,processing_solvent,synthesis_solvent,electrolyte,measurement_method,notes,_source_file,_source_path,_config_name
PNT2Se2Th-DT,naphthobisthiadiazole-based D−A copolymer,2-decyltetradecyl,alkyl,24-carbon,impart better solubility,OFET,electronic,40−60 nm,100 μm,96.8 kDa,N/A,2.6,0.03 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,thermal annealing 160 °C 30 min,spin-coating (1000 rpm),hot chlorobenzene,N/A,N/A,bottom-gate-top-contact OFET,N/A,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
PNT2Se2Th-DT,naphthobisthiadiazole-based D−A copolymer,2-decyltetradecyl,alkyl,24-carbon,impart better solubility,PSC,electronic,ca. 250 nm,N/A,96.8 kDa,N/A,2.6,N/A,N/A,N/A,N/A,8.25%,17.21 mA cm−2,0.68 V,70.50%,N/A,N/A,N/A,polymer:PC71BM 1:2; 5 vol% DPE; thermal anneal 100 °C 10 min,spin-coating,N/A,N/A,N/A,ITO/ZnO/polymer:PC71BM/MoO3/Ag,N/A,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
PNT4Se-DT,naphthobisthiadiazole-based D−A copolymer,2-decyltetradecyl,alkyl,24-carbon,impart better solubility,OFET,electronic,40−60 nm,100 μm,55.4 kDa,N/A,3.7,0.03 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,thermal annealing 160 °C 30 min,spin-coating (1000 rpm),hot chlorobenzene,N/A,N/A,bottom-gate-top-contact OFET,poor solubility,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
PNT4Se-DT,naphthobisthiadiazole-based D−A copolymer,2-decyltetradecyl,alkyl,24-carbon,impart better solubility,PSC,electronic,ca. 250 nm,N/A,55.4 kDa,N/A,3.7,N/A,N/A,N/A,N/A,5.66%,16.57 mA cm−2,0.60 V,56.98%,N/A,N/A,N/A,polymer:PC71BM 1:2; 5 vol% DPE; thermal anneal 100 °C 10 min,spin-coating,N/A,N/A,N/A,ITO/ZnO/polymer:PC71BM/MoO3/Ag,poor solubility,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
Cl2-BAL,π-extended poly(benzimidazoanthradiisoquinolinedione),side-chain-free,N/A,N/A,N/A,OECT,mixed ionic-electronic,160 nm,5 μm,N/A,N/A,N/A,N/A,0.014 cm2 V−1 s−1,442 ± 42 F cm−3,6.20 ± 1.25 F cm−1 V−1 s−1,N/A,N/A,N/A,N/A,crystalline,3.53 Å,8.4 Å,0.1 M NaCl aqueous electrolyte,spin-coating,methanesulfonic acid (MSA),N/A,0.1 M NaCl aqueous electrolyte,accumulation-mode OECT with Ag/AgCl gate,interconnected crystalline nanofibers,462_Advanced Materials - 2024 - Wu - Stable n%E2%80%90Type Perylene Derivative Ladder Polymer with Antiambipolarity for Electrically.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/462_Advanced Materials - 2024 - Wu - Stable n%E2%80%90Type Perylene Derivative Ladder Polymer with Antiambipolarity for Electrically/462_Advanced Materials - 2024 - Wu - Stable n%E2%80%90Type Perylene Derivative Ladder Polymer with Antiambipolarity for Electrically/pdf/462_Advanced Materials - 2024 - Wu - Stable n%E2%80%90Type Perylene Derivative Ladder Polymer with Antiambipolarity for Electrically.txt,text_mining_GPT_extended
Cl4-BAL,π-extended poly(benzimidazoanthradiisoquinolinedione),side-chain-free,N/A,N/A,N/A,OECT,mixed ionic-electronic,173 nm,5 μm,N/A,N/A,N/A,N/A,0.002 cm2 V−1 s−1,354 ± 43 F cm−3,0.83 ± 0.48 F cm−1 V−1 s−1,N/A,N/A,N/A,N/A,semi-crystalline,N/A,N/A,0.1 M NaCl aqueous electrolyte,spin-coating,methanesulfonic acid (MSA),N/A,0.1 M NaCl aqueous electrolyte,accumulation-mode OECT with Ag/AgCl gate,broad distribution of molecular orientations,462_Advanced Materials - 2024 - Wu - Stable n%E2%80%90Type Perylene Derivative Ladder Polymer with Antiambipolarity for Electrically.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/462_Advanced Materials - 2024 - Wu - Stable n%E2%80%90Type Perylene Derivative Ladder Polymer with Antiambipolarity for Electrically/462_Advanced Materials - 2024 - Wu - Stable n%E2%80%90Type Perylene Derivative Ladder Polymer with Antiambipolarity for Electrically/pdf/462_Advanced Materials - 2024 - Wu - Stable n%E2%80%90Type Perylene Derivative Ladder Polymer with Antiambipolarity for Electrically.txt,text_mining_GPT_extended
P1,bithiophene,hexyl,alkyl,hexyl,comparison,OFET,electronic,N/A,50 lm,38 K,74 K,1.95,1.0  10–4 cm2/Vs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,Untreated,spin-coating,chlorobenzene,toluene,N/A,bottom gate/top contact geometry,amorphous state,418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/pdf/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,text_mining_GPT_extended
P1,bithiophene,hexyl,alkyl,hexyl,comparison,OFET,electronic,N/A,50 lm,38 K,74 K,1.95,8.4  104 cm2/Vs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,annealing at 150 C,spin-coating,chlorobenzene,toluene,N/A,bottom gate/top contact geometry,amorphous state,418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/pdf/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,text_mining_GPT_extended
P1,bithiophene,hexyl,alkyl,hexyl,comparison,OFET,electronic,N/A,50 lm,38 K,74 K,1.95,8.9  10–4 cm2/Vs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,annealing at 180 C,spin-coating,chlorobenzene,toluene,N/A,bottom gate/top contact geometry,amorphous state,418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/pdf/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,text_mining_GPT_extended
P2,bithiophene,conjugated thienylvinyl side chain,conjugated,2-(5-hexyl-2-thienyl)ethenyl,study effect on hole mobility,OFET,electronic,N/A,50 lm,29 K,41 K,1.44,4.2  10–4 cm2/Vs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,Untreated,spin-coating,chlorobenzene,toluene,N/A,bottom gate/top contact geometry,amorphous state,418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/pdf/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,text_mining_GPT_extended
P2,bithiophene,conjugated thienylvinyl side chain,conjugated,2-(5-hexyl-2-thienyl)ethenyl,study effect on hole mobility,OFET,electronic,N/A,50 lm,29 K,41 K,1.44,7.3  103 cm2/Vs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,annealing at 150 C,spin-coating,chlorobenzene,toluene,N/A,bottom gate/top contact geometry,amorphous state,418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/pdf/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,text_mining_GPT_extended
P2,bithiophene,conjugated thienylvinyl side chain,conjugated,2-(5-hexyl-2-thienyl)ethenyl,study effect on hole mobility,OFET,electronic,N/A,50 lm,29 K,41 K,1.44,0.034 cm2/Vs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,annealing at 180 C,spin-coating,chlorobenzene,toluene,N/A,bottom gate/top contact geometry,amorphous state,418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/pdf/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,text_mining_GPT_extended
P2,bithiophene,conjugated thienylvinyl side chain,conjugated,2-(5-hexyl-2-thienyl)ethenyl,study effect on hole mobility,OFET,electronic,N/A,50 lm,29 K,41 K,1.44,0.061 cm2/Vs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,annealing at 180 C (highest),spin-coating,chlorobenzene,toluene,N/A,bottom gate/top contact geometry,amorphous state,418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based/pdf/418_Journal of Polymer Science Part A  Polymer Chemistry - 2009 - He - High performance polymer field%E2%80%90effect transistors based.txt,text_mining_GPT_extended
octyl-PTTBTz-F,thienothiophene-benzotriazole,octyl,alkyl,C8,solubility,OFET,electronic,N/A,100 mm,5.83 kDa,N/A,1.31,1.2  103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.6 Å,13.7 Å,as-coated,spin-coated,anhydrous chloroform,anhydrous chlorobenzene,N/A,top-contact bottom-gate OFET,distinct edge-on orientations,421_1-s2.0-S1226086X20301015-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/421_1-s2.0-S1226086X20301015-main/421_1-s2.0-S1226086X20301015-main/pdf/421_1-s2.0-S1226086X20301015-main.txt,text_mining_GPT_extended
octyl-PTTBTz-F,thienothiophene-benzotriazole,octyl,alkyl,C8,solubility,OFET,electronic,N/A,100 mm,5.83 kDa,N/A,1.31,4.2  103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.6 Å,13.7 Å,150 C,spin-coated,anhydrous chloroform,anhydrous chlorobenzene,N/A,top-contact bottom-gate OFET,distinct edge-on orientations,421_1-s2.0-S1226086X20301015-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/421_1-s2.0-S1226086X20301015-main/421_1-s2.0-S1226086X20301015-main/pdf/421_1-s2.0-S1226086X20301015-main.txt,text_mining_GPT_extended
octyl-PTTBTz-F,thienothiophene-benzotriazole,octyl,alkyl,C8,solubility,OFET,electronic,N/A,100 mm,5.83 kDa,N/A,1.31,2.9  103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.6 Å,13.7 Å,200 C,spin-coated,anhydrous chloroform,anhydrous chlorobenzene,N/A,top-contact bottom-gate OFET,distinct edge-on orientations,421_1-s2.0-S1226086X20301015-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/421_1-s2.0-S1226086X20301015-main/421_1-s2.0-S1226086X20301015-main/pdf/421_1-s2.0-S1226086X20301015-main.txt,text_mining_GPT_extended
Si-PTTBTz,thienothiophene-benzotriazole,"5-(1,1,1,3,5,5,5-heptamethyltrisiloxan-3-yl)pentyl",siloxane-terminated,"5-(1,1,1,3,5,5,5-heptamethyltrisiloxan-3-yl)pentyl",solubility,OFET,electronic,N/A,100 mm,19.2 kDa,N/A,1.27,2.2  105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,as-coated,spin-coated,anhydrous chloroform,anhydrous chlorobenzene,N/A,top-contact bottom-gate OFET,amorphous halos,421_1-s2.0-S1226086X20301015-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/421_1-s2.0-S1226086X20301015-main/421_1-s2.0-S1226086X20301015-main/pdf/421_1-s2.0-S1226086X20301015-main.txt,text_mining_GPT_extended
Si-PTTBTz,thienothiophene-benzotriazole,"5-(1,1,1,3,5,5,5-heptamethyltrisiloxan-3-yl)pentyl",siloxane-terminated,"5-(1,1,1,3,5,5,5-heptamethyltrisiloxan-3-yl)pentyl",solubility,OFET,electronic,N/A,100 mm,19.2 kDa,N/A,1.27,1.8  104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,semi-crystalline,N/A,27.4 Å,300 C,spin-coated,anhydrous chloroform,anhydrous chlorobenzene,N/A,top-contact bottom-gate OFET,slightly more intensified (100) peak,421_1-s2.0-S1226086X20301015-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/421_1-s2.0-S1226086X20301015-main/421_1-s2.0-S1226086X20301015-main/pdf/421_1-s2.0-S1226086X20301015-main.txt,text_mining_GPT_extended
Si-PTTBTz,thienothiophene-benzotriazole,"5-(1,1,1,3,5,5,5-heptamethyltrisiloxan-3-yl)pentyl",siloxane-terminated,"5-(1,1,1,3,5,5,5-heptamethyltrisiloxan-3-yl)pentyl",solubility,OFET,electronic,N/A,100 mm,19.2 kDa,N/A,1.27,6.5 105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,350 C,spin-coated,anhydrous chloroform,anhydrous chlorobenzene,N/A,top-contact bottom-gate OFET,peaks decreased or vanished,421_1-s2.0-S1226086X20301015-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/421_1-s2.0-S1226086X20301015-main/421_1-s2.0-S1226086X20301015-main/pdf/421_1-s2.0-S1226086X20301015-main.txt,text_mining_GPT_extended
Si-PTTBTz-F,thienothiophene-benzotriazole,"5-(1,1,1,3,5,5,5-heptamethyltrisiloxan-3-yl)pentyl",siloxane-terminated,"5-(1,1,1,3,5,5,5-heptamethyltrisiloxan-3-yl)pentyl",solubility,OFET,electronic,N/A,100 mm,11.2 kDa,N/A,1.23,2.4  103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.6 Å,22.1 Å,as-coated,spin-coated,anhydrous chloroform,anhydrous chlorobenzene,N/A,top-contact bottom-gate OFET,distinct and preferential edge-on orientations,421_1-s2.0-S1226086X20301015-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/421_1-s2.0-S1226086X20301015-main/421_1-s2.0-S1226086X20301015-main/pdf/421_1-s2.0-S1226086X20301015-main.txt,text_mining_GPT_extended
