paper_name,image_path,polymer_name,segment_index,raw_smiles,cleaned_smiles,canonical_smiles,status
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,P(O-DBND-2T),8,CC1=CC=C2C(=C1)N=C(C3=C2C(=NC4=C3C=CC(=C4)C5=CC=C(C6=CC=C(C(C)(C)C)S6)S5)O[R19a])O[R19a].CC(CCC[R4f])[O-].CC.CC.CC.[Na+].[Na+].[Na+].[OH-].[OH-],CC,,chemical_filter_failed
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,P(O-DBND-2T),9,CCCCCCCCCC(CCCCCCCCC)CCC[R1],CCCCCCCCCC(CCCCCCCCC)CCC[*],*CCCC(CCCCCCCCC)CCCCCCCCC,ok
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,P(O-DBND-2T),10,CCCCCCCCCC(CCCCCCCCC)CC[R15],CCCCCCCCCC(CCCCCCCCC)CC[*],*CCC(CCCCCCCCC)CCCCCCCCC,ok
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,(b) Polymer synthesis,11,C1=CC2=C(C=C1Br)N=C(C3=C2C(=O)N(C4=CC(=CC=C43)Br)[R19a])O[R19a].CC.[H][H].[H][H],CC,,chemical_filter_failed
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,P(O-DBND-2T),12,CCCCCCCCCC(CCC)[GeH2]CCCCCCC,CCCCCCCCCC(CCC)[GeH]CCCCCCC,,chemical_filter_failed
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,(b) Polymer synthesis,13,[Al](=O)(O)O[Al](O)O,[Al](=O)(O)O[Al](O)O,,invalid
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_4_img_1_b.jpg,,1,CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si,CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si]),CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si],ok
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_4_img_1_a.jpg,,1,CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O,CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O,CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O,ok
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_5_img_2_d.jpg,,1,C1CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,chemical_filter_failed
405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/images_folder/page_3_img_2_0.jpg,Pd(PPh3)4,1,CCCCCCCCCCC1=CC=C(C2=C3C(=C(C4=CC=C(CCCCCCCCC)S4)C5=C2C=C(C6=CC=C(Br)S6)S5)C=C(C7=CC=C(Br)S7)S3)S1.S,CCCCCCCCCCc1ccc(-c2c3cc(-c4ccc(Br)s4)sc3c(-c3ccc(CCCCCCCCC)s3)c3cc(-c4ccc(Br)s4)sc23)s1,CCCCCCCCCCc1ccc(-c2c3cc(-c4ccc(Br)s4)sc3c(-c3ccc(CCCCCCCCC)s3)c3cc(-c4ccc(Br)s4)sc23)s1,fragment_cleaned
405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/images_folder/page_3_img_2_0.jpg,properties of poly{Th-bDTBDT-Th} in SCLC and,2,C1=CSC2=C1C(=O)C3=C(C=CS3)C2=O,C1=CSC2=C1C(=O)C3=C(C=CS3)C2=O,O=C1c2ccsc2C(=O)c2ccsc21,ok
405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/images_folder/page_3_img_2_0.jpg,Pd(PPh3)4,3,CCCCCCCC1=CC=C(C2=CC3=C(C(=C4C=C(C5=CC=C(S5)[Sn](CCCCCCC)(CCCCCCC)CCCCCCCC)SC4=C3C6=CC=CS6)C7=CC=C(CCCCCCCC)S7)S2)S1.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,chemical_filter_failed
405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/images_folder/page_3_img_2_0.jpg,properties of poly{Th-bDTBDT-Th} in SCLC and,4,CCCCCCCCCCC1=CC=C(C2=C3C(=C(C4=CC=C(CCCCCCCCCC)S4)C5=C2C=CS5)C=CS3)S1.[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-].[I-][In][In][In][In][In][In][In][In][In][In][In],CCCCCCCCCCc1ccc(-c2c3ccsc3c(-c3ccc(CCCCCCCCCC)s3)c3ccsc23)s1,CCCCCCCCCCc1ccc(-c2c3ccsc3c(-c3ccc(CCCCCCCCCC)s3)c3ccsc23)s1,fragment_cleaned
405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/images_folder/page_3_img_2_0.jpg,Pd(PPh3)4,5,CCCCCCCCCCC1=CC=C(C2=C3C(=C(C4=CC=C(CCCCCCCCCC)S4)C5=C2C=C(C6=CC=C(C)S6)S5)C=C(C7=CC=C(C)S7)S3)S1.CC.CC,CCCCCCCCCCc1ccc(-c2c3cc(-c4ccc(C)s4)sc3c(-c3ccc(CCCCCCCCCC)s3)c3cc(-c4ccc(C)s4)sc23)s1,CCCCCCCCCCc1ccc(-c2c3cc(-c4ccc(C)s4)sc3c(-c3ccc(CCCCCCCCCC)s3)c3cc(-c4ccc(C)s4)sc23)s1,fragment_cleaned
405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/images_folder/page_3_img_2_0.jpg,Pd(PPh3)4,6,CCCCCCCCCCC1=CC=C(C2=C3C(=C(C4=CC=C(CCCCCCCCC)S4)C5=C2C=C(Br)S5)C=C(Br)S3)S1.F.F.[F-],CCCCCCCCCCc1ccc(-c2c3cc(Br)sc3c(-c3ccc(CCCCCCCCC)s3)c3cc(Br)sc23)s1,CCCCCCCCCCc1ccc(-c2c3cc(Br)sc3c(-c3ccc(CCCCCCCCC)s3)c3cc(Br)sc23)s1,fragment_cleaned
405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/images_folder/page_3_img_2_0.jpg,properties of poly{Th-bDTBDT-Th} in SCLC and,7,C1=CSC(=C1)[GaH2].[SH3+],[GaH][c]1cccs1,[GaH][c]1cccs1,fragment_cleaned
405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/images_folder/page_3_img_2_0.jpg,Pd(PPh3)4,8,CCCCCCCCCCC1=CC=C(C2=C3C(=C(C4=CC=C(CCCCCCCCC)S4)C5=C2C=C(C6=CC=CS6)S5)C=C(C7=CC=CS7)S3)S1.[B],CCCCCCCCCCc1ccc(-c2c3cc(-c4cccs4)sc3c(-c3ccc(CCCCCCCCC)s3)c3cc(-c4cccs4)sc23)s1,CCCCCCCCCCc1ccc(-c2c3cc(-c4cccs4)sc3c(-c3ccc(CCCCCCCCC)s3)c3cc(-c4cccs4)sc23)s1,fragment_cleaned
405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/405_Journal of Polymer Science Part A  Polymer Chemistry - 2017 - Pathiranage - Effect of thiophene spacers in/images_folder/page_3_img_2_0.jpg,Pd(PPh3)4,9,C[Sn](C)(C)C1=CC=CS1,C[Sn](C)(C)C1=CC=CS1,[CH3][Sn]([CH3])([CH3])[c]1cccs1,ok
